"",".metric",".estimator",".estimate","model","dataset","value_round"
"1","mape","standard",21.5242930625856,"ets_xls","M31050",21.524
"2","smape","standard",19.4222293531802,"ets_xls","M31050",19.422
"3","mase","standard",1.1505843527648,"ets_xls","M31050",1.151
"4","mpe","standard",-13.9734958579553,"ets_xls","M31050",-13.973
"5","rmse","standard",1232.88567365815,"ets_xls","M31050",1232.886
"6","mape","standard",18.9795831988732,"ARIMA","M31050",18.98
"7","smape","standard",17.3683943160496,"ARIMA","M31050",17.368
"8","mase","standard",1.03585986431294,"ARIMA","M31050",1.036
"9","mpe","standard",-12.3525308906923,"ARIMA","M31050",-12.353
"10","rmse","standard",1140.81569685817,"ARIMA","M31050",1140.816
"11","mape","standard",30.0081216112081,"prophet","M31050",30.008
"12","smape","standard",36.6941053222772,"prophet","M31050",36.694
"13","mase","standard",1.78769651518579,"prophet","M31050",1.788
"14","mpe","standard",28.7589566333908,"prophet","M31050",28.759
"15","rmse","standard",1887.94643719777,"prophet","M31050",1887.946
"16","mape","standard",5.30362874908181,"ets_xls","M36228",5.304
"17","smape","standard",5.51225557691983,"ets_xls","M36228",5.512
"18","mase","standard",2.35926397235743,"ets_xls","M36228",2.359
"19","mpe","standard",5.29741224307227,"ets_xls","M36228",5.297
"20","rmse","standard",334.186600122537,"ets_xls","M36228",334.187
"21","mape","standard",10.8878955737532,"ARIMA","M36228",10.888
"22","smape","standard",11.662783063391,"ARIMA","M36228",11.663
"23","mase","standard",4.82271503837302,"ARIMA","M36228",4.823
"24","mpe","standard",10.8878955737532,"ARIMA","M36228",10.888
"25","rmse","standard",633.090169175722,"ARIMA","M36228",633.09
"26","mape","standard",6.31675556496723,"prophet","M36228",6.317
"27","smape","standard",6.63971704136974,"prophet","M36228",6.64
"28","mase","standard",2.83124537399197,"prophet","M36228",2.831
"29","mpe","standard",5.94120690425067,"prophet","M36228",5.941
"30","rmse","standard",419.579580454289,"prophet","M36228",419.58
"31","mape","standard",6.45547540248842,"ets_xls","Y14803",6.455
"32","smape","standard",6.17688894416042,"ets_xls","Y14803",6.177
"33","mase","standard",1.17817230653222,"ets_xls","Y14803",1.178
"34","mpe","standard",-6.43048794236834,"ets_xls","Y14803",-6.43
"35","rmse","standard",341.755546592201,"ets_xls","Y14803",341.756
"36","mape","standard",11.0268081790349,"ARIMA","Y14803",11.027
"37","smape","standard",10.2356974771423,"ARIMA","Y14803",10.236
"38","mase","standard",2.01108818886074,"ARIMA","Y14803",2.011
"39","mpe","standard",-11.0268081790349,"ARIMA","Y14803",-11.027
"40","rmse","standard",582.352007687132,"ARIMA","Y14803",582.352
"41","mape","standard",22.7133894873144,"prophet","Y14803",22.713
"42","smape","standard",20.0589427598844,"prophet","Y14803",20.059
"43","mase","standard",4.18183085423749,"prophet","Y14803",4.182
"44","mpe","standard",-22.7133894873144,"prophet","Y14803",-22.713
